ProgramId,LayerId,ProgramName,LayerName,ClientName,BrokerName,CurrencyCode,LegalEntity,BusinessUnit,BusinessSegment,Underwriter,DirectionTypeName,LayerStatusTypeName,Share,InceptionDate,ExpirationDate,Premium100,Limit100,LayerTypeName,LatestFxRate,ExpectedLoss100
3614,12149,Crop Prospective,L1 Core Spec ILW,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.05,1/1/2024,12/31/2024,24660,6130000,Aggregate XL,1,71290
3614,12151,Crop Prospective,L2 Core Spec ILW ,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.05,1/1/2024,12/31/2024,59910,2557000,Aggregate XL,1,71780
3614,12152,Crop Prospective,QBE NAU MPCI QS,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.005,1/1/2024,12/31/2024,87060,3627000,Quota Share,1,18840
3614,12153,Crop Prospective,QBE NAU CH QS,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.003,1/1/2024,12/31/2024,2470,2315000,Quota Share,1,92300
3614,12154,Crop Prospective,L1 QBE NAU MPCI Stop Loss 3.5x101.5,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,52870,9316000,Aggregate XL,1,41590
3614,12155,Crop Prospective,L2 QBE NAU MPCI Stop Loss 5x105,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,41790,618000,Aggregate XL,1,12950
3614,12156,Crop Prospective,L3 QBE NAU MPCI Stop Loss 6x110,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,85300,230000,Aggregate XL,1,70700
3614,12157,Crop Prospective,L4 QBE NAU MPCI Stop Loss 9x116,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,32830,5774000,Aggregate XL,1,98650
3614,12158,Crop Prospective,L1 QBE NAU CH Stop Loss 15x95,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,55390,5102000,Aggregate XL,1,87790
3614,12159,Crop Prospective,L2 QBE NAU CH Stop Loss 20x110,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,5900,2174000,Aggregate XL,1,45200
3614,12160,Crop Prospective,L3 QBE NAU CH Stop Loss 20x130,PrInCo_1425,As_274,USD,London 1, Specialty Do,Agriculture - QS,Cameron,Assumed,Declined,0.025,1/1/2024,12/31/2024,7300,58000,Aggregate XL,1,30540
5476,17442,MPCI GC Client Index XOL,Layer 1 7% x 101%,CoSp_323,Sry_159,USD,Bermuda,Specialty Re,Agriculture - XOL,Cameron,Assumed,Bound,0.1,1/1/2024,12/31/2024,66740,1365000,Aggregate XL,1,73780
5476,17443,MPCI GC Client Index XOL,Layer 2 15% x 108%,CoSp_323,Sry_159,USD,Bermuda,Specialty Re,Agriculture - XOL,Cameron,Assumed,Bound,0.1,1/1/2024,12/31/2024,17580,3555000,Aggregate XL,1,56580
5613,18083,US Crop Insurance Stop Loss,L1: MPCI 5%x102%,ZuInCoLt_267,Nry_124,USD,Bermuda,Specialty Re,Agriculture - XOL,Cameron,Assumed,Declined,0.01,1/1/2024,12/31/2024,48960,1351000,Aggregate XL,1,63700
5613,18084,US Crop Insurance Stop Loss,L2: MPCI 10%x107%,ZuInCoLt_267,Nry_124,USD,Bermuda,Specialty Re,Agriculture - XOL,Cameron,Assumed,Declined,0.01,1/1/2024,12/31/2024,28780,5996000,Aggregate XL,1,26040
5613,18085,US Crop Insurance Stop Loss,CHNP&MPCI 15%x105%,ZuInCoLt_267,Nry_124,USD,Bermuda,Specialty Re,Agriculture - XOL,Cameron,Assumed,Declined,0.01,1/1/2024,12/31/2024,83510,3324000,Aggregate XL,1,25920
420,1257,LAU General Aviation QS,QS,CoSp_323,Ary_157,USD,Bermuda,Specialty Re,Aviation - QS,Cameron,Assumed,Bound,0.085,1/1/2022,12/31/2022,47730,2000,Quota Share,1,67110
1970,5433,Hull War AV52,Layer 1,HaRüSE_1272,Ner_339,USD,Bermuda,Specialty Re,Aviation - QS,Cameron,Assumed,Bound,0.5,7/1/2022,6/30/2023,84920,5408000,ILW,1,53540
2585,7322,LAU General Aviation QS,QS,CoSp_323,Ary_157,USD,Bermuda,Specialty Re,Aviation - QS,Cameron,Assumed,Bound,0.105,1/1/2023,12/31/2023,63190,8217000,Quota Share,1,42190
4163,14757,LAU General Aviation QS,QS,CoSp_323,Ary_157,USD,Bermuda,Specialty Re,Aviation - QS,Cameron,Assumed,Bound,0.105,1/1/2024,12/31/2024,85110,243000,Quota Share,1,94600
2513,6891,"Property Cat XOL - Fire, Engineering and Motor",Layer 1,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2023,12/31/2023,27300,4511000,Excess of Loss,17.63751216,25570
2513,6892,"Property Cat XOL - Fire, Engineering and Motor",Layer 2,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2023,12/31/2023,68140,2302000,Excess of Loss,17.63751216,82900
2513,6893,"Property Cat XOL - Fire, Engineering and Motor",Layer 3,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.04,1/1/2023,12/31/2023,57890,5685000,Excess of Loss,17.63751216,22140
2513,6894,"Property Cat XOL - Fire, Engineering and Motor",Layer 4,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2023,12/31/2023,40010,2721000,Excess of Loss,17.63751216,96080
3991,13568,"Property Cat XOL - Fire, Engineering and Motor",Layer 1,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2024,12/31/2024,28080,2297000,Excess of Loss,18.46803289,91740
3991,13569,"Property Cat XOL - Fire, Engineering and Motor",Layer 2,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2024,12/31/2024,34720,6772000,Excess of Loss,18.46803289,21340
3991,13570,"Property Cat XOL - Fire, Engineering and Motor",Layer 3,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2024,12/31/2024,39040,3760000,Excess of Loss,18.46803289,26910
3991,13571,"Property Cat XOL - Fire, Engineering and Motor",Layer 4,OlMuInLi_1776,Nry_124,ZAR,Bermuda,Property Re,CAT Africa,Mark,Assumed,Bound,0.05,1/1/2024,12/31/2024,23990,8767000,Excess of Loss,18.46803289,67200
959,3149,NM Combined XL,Layer 3 - Domestic and Foreign ,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.025,4/1/2022,3/31/2023,99700,2745000,Excess of Loss,4.687503041,26280
959,3150,NM Combined XL,Layer 4 - Domestic and Foreign,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.025,4/1/2022,3/31/2023,84300,846000,Excess of Loss,4.687503041,85110
959,3151,NM Combined XL,Layer 5 - Domestic and China,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.025,4/1/2022,3/31/2023,89740,8909000,Excess of Loss,4.687503041,70370
2956,9282,Own Account XOL ,Layer 1 - AP,CeReCo_446,Nry_124,TWD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,3/1/2023,2/28/2024,30920,5860000,Excess of Loss,32.79579808,29060
2956,9283,Own Account XOL ,Layer 2 - AP,CeReCo_446,Nry_124,TWD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,3/1/2023,2/28/2024,64800,771000,Excess of Loss,32.79579808,76560
2956,9284,Own Account XOL ,Layer 3 - AP ex. TF,CeReCo_446,Nry_124,TWD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,3/1/2023,2/28/2024,10330,7415000,Excess of Loss,32.79579808,81790
2956,9285,Own Account XOL ,Layer 4 - AP ex. TF,CeReCo_446,Nry_124,TWD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,3/1/2023,2/28/2024,94760,9997000,Excess of Loss,32.79579808,57170
2956,9286,Own Account XOL ,Layer 5 - AP ex. TF,CeReCo_446,Nry_124,TWD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,3/1/2023,2/28/2024,55360,803000,Excess of Loss,32.79579808,51410
3133,10012,Property Cat XOL,Layer 1 - WF,ThKyFi& Ma_2083,Nn_143,JPY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.05,4/1/2023,3/31/2024,29670,4544000,Excess of Loss,157.4850096,13100
3133,10013,Property Cat XOL,Layer 2 - WF,ThKyFi& Ma_2083,Nn_143,JPY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.05,4/1/2023,3/31/2024,36980,3265000,Excess of Loss,157.4850096,18080
3316,10841,Non Marine Cat XOL,Layer 1 - AP ex. EQ,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,32050,8621000,Excess of Loss,7.270394257,86180
3316,10842,Non Marine Cat XOL,Layer 2 - AP,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,30280,4146000,Excess of Loss,7.270394257,47660
3316,10843,Non Marine Cat XOL,Layer 3 - AP,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,61540,8143000,Excess of Loss,7.270394257,82360
3316,10844,Non Marine Cat XOL,Layer 4 - AP,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,64420,482000,Excess of Loss,7.270394257,94210
3316,10845,Non Marine Cat XOL,Layer 5 - AP,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,35370,7822000,Excess of Loss,7.270394257,41910
3316,10846,Non Marine Cat XOL,Layer 6 - AP,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,90960,3701000,Excess of Loss,7.270394257,89210
3316,10847,Non Marine Cat XOL,Layer 7 - EQ,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,27000,8191000,Excess of Loss,7.270394257,48680
3316,10848,Non Marine Cat XOL,Layer 8 - EQ,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,94710,8787000,Excess of Loss,7.270394257,60580
3316,10849,Non Marine Cat XOL,Layer 9 - EQ,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,73910,7296000,Excess of Loss,7.270394257,95510
3316,10850,Non Marine Cat XOL,Layer 10 - EQ,ChPP_351,Nry_124,CNY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,5/1/2023,4/30/2024,61580,6157000,Excess of Loss,7.270394257,99080
3884,14469,Property Cat XOL - APAC/MENA,APAX ex Japan QS,MSAmInSE_1876,En_934,USD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,1/1/2024,12/31/2024,42580,1545000,Quota Share,1,75280
4259,15353,Property Cat XOL - APAC/MENA XOL,Layer 1 - 20 x 10,MSAmInSE_1876,En_934,USD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,1/1/2024,12/31/2024,55770,8741000,Excess of Loss,1,44960
4259,15354,Property Cat XOL - APAC/MENA XOL,Layer 1 - 10 x 10,MSAmInSE_1876,En_934,USD,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined,0.01,1/1/2024,12/31/2024,72920,9772000,Excess of Loss,1,46880
